lambda,exp,seed,dynamic_partition_mean_jct,decima_mean_jct,delta_dynamic_partition_minus_decima
1.0,3,10000003,1626538.1760486008,1214817.2656001295,411720.9104484713
1.0,4,10000004,2058692.9678836032,1376905.333776639,681787.6341069641
1.0,5,10000005,2653255.616629578,1671458.1056259489,981797.5110036293
1.0,6,10000006,1839614.870963111,1199724.8463305559,639890.0246325552
1.0,7,10000007,2356489.151560602,1464410.8289447636,892078.3226158381
1.0,8,10000008,1456365.2652144018,1067549.6757473873,388815.5894670144
1.0,9,10000009,2603091.3099974445,1593105.7162746144,1009985.5937228301
1.0,10,10000010,2702775.3784072143,1641337.5967020066,1061437.7817052077
1.0,11,10000011,1998587.4112194865,1241967.700964139,756619.7102553474
1.0,12,10000012,2147661.153192612,1440328.857781868,707332.2954107439
1.0,13,10000013,2261822.123142877,1389495.036132077,872327.0870108001
1.0,14,10000014,1795089.028814108,1194668.0167687968,600421.0120453113
1.0,15,10000015,1916073.4394758786,1305567.0514197238,610506.3880561548
1.0,16,10000016,1820878.741046308,1277805.9866776303,543072.7543686777
1.0,17,10000017,1961921.669355829,1341377.0995380091,620544.5698178199
1.0,18,10000018,2423723.7008311227,1512112.2336284313,911611.4672026914
1.0,19,10000019,2457142.5799813094,1621487.2969152178,835655.2830660916
1.0,20,10000020,1829267.459725018,1277539.2892504733,551728.1704745446
1.0,21,10000021,1902778.0875445271,1308397.3210864929,594380.7664580343
1.0,22,10000022,2611165.1062899055,1690112.1079963434,921052.9982935621
1.0,23,10000023,1950870.411187725,1334620.2662332153,616250.1449545096
1.0,24,10000024,2616426.6630553785,1781658.8355566482,834767.8274987303
1.0,25,10000025,1794146.5443067467,1299295.0391012658,494851.50520548085
1.0,26,10000026,2247544.0970945014,1524444.1743336741,723099.9227608272
1.0,27,10000027,1816463.409427189,1241290.709154685,575172.700272504
1.0,28,10000028,2552721.6009143717,1626981.4490861923,925740.1518281794
1.0,29,10000029,1881432.068971355,1284100.9397897753,597331.1291815797
1.5,0,10000000,3937155.2405067384,2673636.82477241,1263518.4157343283
1.5,1,10000001,3269514.299413232,2417296.528442051,852217.7709711813
1.5,2,10000002,3919515.314537822,2736153.023357903,1183362.2911799187
1.5,3,10000003,3262805.466285459,2542146.8292630794,720658.6370223798
1.5,4,10000004,3698536.54336417,2617418.7599925227,1081117.7833716474
1.5,5,10000005,4368390.920677207,2883182.567354436,1485208.3533227714
1.5,6,10000006,3323045.206763951,2246013.7273525125,1077031.4794114386
1.5,7,10000007,4043140.733106256,2714933.6751993736,1328207.0579068824
1.5,8,10000008,3119029.5556993717,2090388.52097126,1028641.0347281117
1.5,9,10000009,4273347.687212444,2693139.027008113,1580208.660204331
1.5,10,10000010,4387534.414150301,2845919.9854759634,1541614.428674338
1.5,11,10000011,3538522.522983954,2357922.055062458,1180600.467921496
1.5,12,10000012,3828041.788760099,2569729.746088947,1258312.042671152
1.5,13,10000013,3893774.940542611,2531850.093274299,1361924.8472683118
1.5,14,10000014,3334491.9655896267,2483200.873211133,851291.0923784939
1.5,15,10000015,3466061.767030143,2497671.1952985795,968390.5717315637
1.5,16,10000016,3397188.8429378183,2473225.1816588105,923963.6612790078
1.5,17,10000017,3529684.374265092,2493640.789748783,1036043.5845163087
1.5,18,10000018,4085139.662170963,2633478.183905755,1451661.4782652077
