cell,seed_index,offset,rossi_total_cost,hpa_v2_total_cost,delta_hpa_v2_minus_rossi,rossi_sla_violation_rate,hpa_v2_sla_violation_rate,rossi_action_churn,hpa_v2_action_churn,rossi_mean_replicas,hpa_v2_mean_replicas,rossi_replica_std,hpa_v2_replica_std
clean,21,348087,169.67329999999998,142.11899999999997,-27.554300000000012,0.031808714488044655,0.00024993751562109475,nan,25,nan,3.9217695576105975,nan,0.8387208145335647
clean,22,380095,188.1717,160.25400000000002,-27.917699999999968,0.031808714488044655,0.00024993751562109475,nan,39,nan,4.425393651587103,nan,0.9910849806600668
clean,23,392098,223.3544,171.68400000000003,-51.67039999999997,0.031808714488044655,0.00024993751562109475,nan,29,nan,4.742814296425894,nan,0.8682744396962886
clean,24,396099,235.05129999999997,176.31900000000002,-58.73229999999995,0.031808714488044655,0.0,nan,32,nan,4.8965258685328665,nan,1.2136400606621145
clean,25,432108,224.47140000000002,159.714,-64.75740000000002,0.031808714488044655,0.0,nan,34,nan,4.435391152211947,nan,1.0670531863904678
clean,26,436109,197.60339999999997,181.449,-16.154399999999953,0.031808714488044655,0.00024993751562109475,nan,27,nan,5.013996500874781,nan,0.7322363050860915
clean,27,456114,186.01019999999997,185.90400000000002,-0.10619999999994434,0.031808714488044655,0.00024993751562109475,nan,41,nan,5.137715571107223,nan,0.9184600088642997
clean,28,492123,193.3589,165.78900000000004,-27.56989999999996,0.031808714488044655,0.00024993751562109475,nan,43,nan,4.579105223694077,nan,1.1742906622873754
clean,29,512128,166.4776,130.014,-36.463599999999985,0.031808714488044655,0.00024993751562109475,nan,31,nan,3.585603599100225,nan,0.9132492462524117
p1,0,12003,150.3218,188.829,38.50720000000001,0.01516287594767975,0.00024993751562109475,877.9333333333333,31,nan,5.218945263684079,nan,0.9890937319842463
p1,1,28007,147.01839999999999,164.394,17.37560000000002,0.01516287594767975,0.00024993751562109475,877.9333333333333,39,nan,4.540364908772807,nan,1.106176685748382
p1,2,36009,139.5478,173.709,34.16120000000001,0.01516287594767975,0.00024993751562109475,877.9333333333333,37,nan,4.79905023744064,nan,1.0153085170918978
p1,3,56014,140.99259999999998,151.88400000000001,10.891400000000033,0.01516287594767975,0.00024993751562109475,877.9333333333333,37,nan,4.192951762059485,nan,1.3447335174168535
p1,4,60015,154.8906,187.11900000000003,32.22840000000002,0.01516287594767975,0.00024993751562109475,877.9333333333333,53,nan,5.171457135716071,nan,1.0905493004814126
p1,5,76019,150.1882,183.87900000000002,33.690800000000024,0.01516287594767975,0.00024993751562109475,877.9333333333333,37,nan,5.081479630092477,nan,0.9589731501829287
p1,6,84021,165.3539,193.68900000000002,28.33510000000001,0.01516287594767975,0.00024993751562109475,877.9333333333333,25,nan,5.35391152211947,nan,0.7149038741553909
p1,7,96024,158.91369999999998,180.63900000000004,21.72530000000006,0.01516287594767975,0.00024993751562109475,877.9333333333333,37,nan,4.991502124468883,nan,0.9930665751863252
p1,8,116029,159.9548,178.47900000000004,18.524200000000036,0.01516287594767975,0.00024993751562109475,877.9333333333333,37,nan,4.93151712071982,nan,1.0351526638665092
p1,9,120030,150.09120000000001,183.56400000000002,33.47280000000001,0.01516287594767975,0.00024993751562109475,877.9333333333333,35,nan,5.072731817045739,nan,0.9590249361215257
p1,10,148037,144.62689999999998,176.454,31.82710000000003,0.01516287594767975,0.00024993751562109475,877.9333333333333,41,nan,4.875281179705074,nan,0.967965437345897
p1,11,152038,168.8005,187.11900000000003,18.31850000000003,0.01516287594767975,0.00024993751562109475,877.9333333333333,43,nan,5.171457135716071,nan,0.9229746099931573
p1,12,180045,172.0389,174.42900000000003,2.390100000000018,0.01516287594767975,0.0,877.9333333333333,40,nan,4.844038990252437,nan,1.3817354248492397
p1,13,184046,160.5702,188.87400000000002,28.303800000000024,0.01516287594767975,0.00024993751562109475,877.9333333333333,43,nan,5.220194951262185,nan,0.9625593134329617
p1,14,192048,172.60879999999997,188.06400000000002,15.455200000000048,0.01516287594767975,0.00024993751562109475,877.9333333333333,39,nan,5.197700574856286,nan,0.8949605984086638
p1,15,224056,162.52759999999998,189.639,27.11140000000003,0.01516287594767975,0.00024993751562109475,877.9333333333333,41,nan,5.241439640089977,nan,1.0394336060388512
p1,16,240060,147.40159999999997,163.62900000000002,16.227400000000046,0.01516287594767975,0.00024993751562109475,877.9333333333333,37,nan,4.519120219945013,nan,0.9273520530715225
p1,17,248062,141.0806,155.169,14.088400000000007,0.01516287594767975,0.0,877.9333333333333,23,nan,4.309172706823294,nan,0.7787725718945246
p1,18,256064,140.1241,176.90400000000005,36.779900000000055,0.01516287594767975,0.00024993751562109475,877.9333333333333,39,nan,4.8877780554861285,nan,1.0123718993100754
p1,19,260065,151.7956,159.309,7.51339999999999,0.01516287594767975,0.00024993751562109475,877.9333333333333,45,nan,4.399150212446888,nan,0.9734743779830225
p1,20,276069,142.89600000000002,179.199,36.303,0.01516287594767975,0.00024993751562109475,877.9333333333333,39,nan,4.9515121219695075,nan,1.0229304674464503
p1,21,348087,113.0954,144.00900000000001,30.913600000000017,0.01516287594767975,0.00024993751562109475,877.9333333333333,25,nan,3.9742564358910273,nan,0.8938050018761639
p1,22,380095,131.6652,152.829,21.16380000000001,0.01516287594767975,0.00024993751562109475,877.9333333333333,37,nan,4.2191952011997005,nan,0.849418079845475
p1,23,392098,162.4286,176.949,14.520400000000024,0.01516287594767975,0.00024993751562109475,877.9333333333333,39,nan,4.889027743064234,nan,1.0326739444816198
p1,24,396099,177.0731,179.42400000000004,2.350900000000024,0.01516287594767975,0.0,877.9333333333333,32,nan,4.982754311422145,nan,1.1660242744985423
p1,25,432108,160.6234,167.67900000000003,7.055600000000027,0.01516287594767975,0.0,877.9333333333333,42,nan,4.656585853536616,nan,1.2341622468609763
p1,26,436109,137.53480000000002,179.154,41.61919999999998,0.01516287594767975,0.00024993751562109475,877.9333333333333,29,nan,4.950262434391402,nan,0.6801910695813256
p1,27,456114,144.30899999999997,187.65900000000005,43.35000000000008,0.01516287594767975,0.00024993751562109475,877.9333333333333,41,nan,5.186453386653337,nan,0.8740912049268773
p1,28,492123,144.2144,166.734,22.519599999999997,0.01516287594767975,0.00024993751562109475,877.9333333333333,43,nan,4.605348662834292,nan,1.0436422219237735
p1,29,512128,125.5334,129.60899999999998,4.07559999999998,0.01516287594767975,0.00024993751562109475,877.9333333333333,31,nan,3.5743564108972756,nan,0.914233715259936
p2,0,12003,242.7613,186.399,-56.362300000000005,0.0324585520286595,0.00024993751562109475,nan,33,nan,5.151462134466383,nan,0.8607370501848708
p2,1,28007,209.0171,161.154,-47.8631,0.0324585520286595,0.00024993751562109475,nan,33,nan,4.450387403149213,nan,1.035776166367317
p2,2,36009,260.9325,173.889,-87.0435,0.0324585520286595,0.00024993751562109475,nan,33,nan,4.804048987753061,nan,0.9221610522831752
p2,3,56014,233.107,151.74900000000002,-81.35799999999998,0.0324585520286595,0.00024993751562109475,nan,37,nan,4.189202699325168,nan,1.329850090738333
p2,4,60015,222.0885,183.87900000000002,-38.20949999999999,0.0324585520286595,0.00024993751562109475,nan,49,nan,5.081479630092477,nan,1.001053886125383
p2,5,76019,236.48680000000002,181.98900000000003,-54.497799999999984,0.0324585520286595,0.00024993751562109475,nan,37,nan,5.028992751812047,nan,0.9181222538851681
p2,6,84021,241.2127,201.474,-39.73870000000002,0.0324585520286595,0.00024993751562109475,nan,31,nan,5.570107473131717,nan,1.067642846711673
p2,7,96024,236.279,181.98900000000003,-54.289999999999964,0.0324585520286595,0.00024993751562109475,nan,37,nan,5.028992751812047,nan,0.9926796346169316
p2,8,116029,233.46280000000002,172.80900000000003,-60.65379999999999,0.0324585520286595,0.00024993751562109475,nan,33,nan,4.77405648587853,nan,1.0874930370039912
p2,9,120030,227.5058,182.34900000000002,-45.156799999999976,0.0324585520286595,0.00024993751562109475,nan,39,nan,5.038990252436891,nan,0.9860204465804411
p2,10,148037,202.27280000000002,174.834,-27.438800000000015,0.0324585520286595,0.00024993751562109475,nan,41,nan,4.830292426893276,nan,0.9880273730735641
p2,11,152038,228.8056,187.25400000000002,-41.55159999999998,0.0324585520286595,0.00024993751562109475,nan,45,nan,5.175206198450387,nan,0.924300563041514
p2,12,180045,250.4106,171.729,-78.68159999999997,0.0324585520286595,0.0,nan,42,nan,4.769057735566109,nan,1.2540969448686927
