hpa_total_cost,hpa_sla_violation_rate,hpa_action_churn,hpa_mean_replicas,hpa_replica_std,hpa_replica_min,hpa_replica_max,config_key,config_label,target_utilization,scale_down_stabilization_seconds,cell,cell_label,seed_index,offset,rossi_total_cost,delta_hpa_minus_rossi
135.729,0.00024993751562109475,85.0,3.74431392151962,1.4374775476520116,1.0,6.0,target_40_down_0,"target=40%, down=0s",0.4,0,p2,P2 tail alpha=1.5,21,348087,196.62009999999998,-60.891099999999966
141.714,0.00024993751562109475,107.0,3.9105223694076483,1.5707879896201462,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,p2,P2 tail alpha=1.5,22,380095,173.05129999999997,-31.33729999999997
160.43400000000003,0.00024993751562109475,97.0,4.4303924018995255,1.7342041993176647,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p2,P2 tail alpha=1.5,23,392098,225.1208,-64.68679999999998
174.024,0.0,112.0,4.8327918020494876,1.8052616670364323,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p2,P2 tail alpha=1.5,24,396099,275.64919999999995,-101.62519999999995
159.12900000000002,0.0,78.0,4.419145213696575,1.848829042110431,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,p2,P2 tail alpha=1.5,25,432108,245.8986,-86.76959999999997
171.99900000000002,0.00024993751562109475,119.0,4.751562109472632,1.6436507497814536,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p2,P2 tail alpha=1.5,26,436109,222.99669999999998,-50.99769999999995
170.739,0.00024993751562109475,115.0,4.716570857285679,1.8635395469722955,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p2,P2 tail alpha=1.5,27,456114,210.7807,-40.04169999999999
154.44899999999998,0.00024993751562109475,83.0,4.264183954011497,1.8858818236011803,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,p2,P2 tail alpha=1.5,28,492123,214.9373,-60.48830000000001
121.32900000000001,0.00024993751562109475,87.0,3.3444138965258685,1.4955902564182024,1.0,6.0,target_40_down_0,"target=40%, down=0s",0.4,0,p2,P2 tail alpha=1.5,29,512128,152.7912,-31.462199999999996
177.534,0.00024993751562109475,85.0,4.905273681579605,1.7931733919580282,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p3,P3 bucket-flip epsilon=0.05,0,12003,200.841,-23.307000000000016
147.87900000000002,0.00024993751562109475,87.0,4.081729567608098,1.7754662874055396,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,p3,P3 bucket-flip epsilon=0.05,1,28007,198.86919999999998,-50.99019999999996
164.25900000000001,0.00024993751562109475,109.0,4.53661584603849,1.86369340460341,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p3,P3 bucket-flip epsilon=0.05,2,36009,214.29749999999996,-50.03849999999994
142.83900000000003,0.00024993751562109475,103.0,3.9417645588602848,1.8915505001796618,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,p3,P3 bucket-flip epsilon=0.05,3,56014,190.3555,-47.51649999999998
168.624,0.00024993751562109475,117.0,4.657835541114721,2.0861582394191815,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p3,P3 bucket-flip epsilon=0.05,4,60015,202.20189999999997,-33.57789999999997
173.07899999999998,0.00024993751562109475,123.0,4.781554611347163,1.969213099824705,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p3,P3 bucket-flip epsilon=0.05,5,76019,214.41939999999997,-41.34039999999999
198.68400000000003,0.00024993751562109475,109.0,5.492626843289178,1.808090380833586,1.0,9.0,target_40_down_0,"target=40%, down=0s",0.4,0,p3,P3 bucket-flip epsilon=0.05,6,84021,237.90949999999998,-39.225499999999954
175.10399999999998,0.00024993751562109475,113.0,4.837790552361909,1.937264377622094,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p3,P3 bucket-flip epsilon=0.05,7,96024,220.6605,-45.55650000000003
168.17399999999998,0.00024993751562109475,109.0,4.645338665333667,1.966206347176511,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p3,P3 bucket-flip epsilon=0.05,8,116029,217.18059999999997,-49.00659999999999
163.94400000000002,0.00024993751562109475,101.0,4.527868032991752,1.8259113315089324,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,p3,P3 bucket-flip epsilon=0.05,9,120030,222.3455,-58.40149999999997
158.769,0.00024993751562109475,87.0,4.3841539615096226,1.82038742791006,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,p3,P3 bucket-flip epsilon=0.05,10,148037,209.62449999999998,-50.85549999999998
