curve,magnitude,rossi_mean_total_cost,comparator_mean_total_cost,delta_comparator_minus_rossi,ci_low,ci_high,p_less_than_zero,p_greater_than_zero,rossi_sla_violation_rate,comparator_sla_violation_rate,rossi_action_churn,comparator_action_churn,block_L5_ci_low,block_L5_ci_high,block_L5_p_less,block_L5_p_greater,block_L10_ci_low,block_L10_ci_high,block_L10_p_less,block_L10_p_greater,holm_less_curve,holm_greater_curve
p1_hpa_v2,5,147.95350999999997,173.21699999999998,25.263490000000022,20.302666583333345,29.868069666666674,1.0,9.99990000099999e-06,0.014446388402899274,0.00021661251353828216,845.6666666666666,36.43333333333333,22.57682841666668,29.118002250000014,1.0,9.99990000099999e-06,22.43281666666668,28.855909750000013,1.0,9.99990000099999e-06,1.0,6.999930000699993e-05
p1_hpa_v2,10,150.60737000000003,173.63400000000001,23.026630000000022,18.73626683333335,27.196643666666684,1.0,9.99990000099999e-06,0.01516287594767975,0.00021661251353828216,877.9333333333333,37.233333333333334,20.02791808333336,25.34972100000002,1.0,0.014999850001499985,20.356876666666686,25.170616666666692,1.0,0.12458875411245887,1.0,6.999930000699993e-05
p1_hpa_v2,20,157.8822633333333,196.54349999999997,38.66123666666669,32.44329783333335,44.452449000000016,1.0,9.99990000099999e-06,0.01701241356327585,0.00021661251353828216,811.3666666666667,47.3,34.829152000000015,42.001529083333345,1.0,9.99990000099999e-06,35.57669666666668,42.00010000000001,1.0,0.12443875561244387,1.0,6.999930000699993e-05
p1_hpa_v2,50,161.19653,262.16400000000004,100.96746999999999,89.95495391666667,112.33603316666664,1.0,9.99990000099999e-06,0.017770557360659835,0.00680663167541448,705.9333333333333,68.36666666666666,85.07455000000003,115.15598016666668,0.985070149298507,0.014939850601493986,85.42908000000004,109.14317333333334,0.8745612543874561,0.12544874551254487,1.0,6.999930000699993e-05
p2_threshold,2.5,213.0927266666667,118.3425,-94.75022666666663,-99.49962016666667,-89.54318575,9.99990000099999e-06,1.0,0.033050070815629426,0.00040823127551445473,1572.9666666666667,55.5,-99.89481091666664,-91.94150241666664,0.015619843801561985,0.984390156098439,-98.72408999999999,-92.50981049999997,0.12378876211237888,0.8762212377876222,5.999940000599994e-05,1.0
p2_threshold,2.0,208.44194333333337,118.43249999999999,-90.00944333333335,-95.14610983333331,-84.73385008333337,9.99990000099999e-06,1.0,0.030584020661501284,0.0004332250270765643,1433.8,55.5,-92.89329808333333,-87.25498541666668,9.99990000099999e-06,1.0,-91.87482741666668,-87.91166,9.99990000099999e-06,1.0,5.999940000599994e-05,1.0
p2_threshold,1.75,224.15866,118.5525,-105.60615999999999,-110.60373349999998,-100.623582,9.99990000099999e-06,1.0,0.033641589602599345,0.0004665500291593769,1722.4666666666667,55.5,-110.2030255,-102.25350074999999,9.99990000099999e-06,1.0,-107.62619666666663,-103.67695666666667,0.12558874411255888,0.8744212557874421,5.999940000599994e-05,1.0
p2_threshold,1.5,224.98108333333332,119.0025,-105.97858333333333,-113.33145675,-98.83560958333332,9.99990000099999e-06,1.0,0.0324585520286595,0.0005915187869699241,1403.1666666666667,55.5,-111.82883616666666,-101.89739458333332,0.015319846801531985,1.0,-110.01577725,-102.92046508333333,0.1253687463125369,1.0,5.999940000599994e-05,1.0
p2_threshold,1.3,220.12502666666666,120.05249999999998,-100.07252666666663,-106.34925358333334,-93.44636891666664,9.99990000099999e-06,1.0,0.030109139381821207,0.0008831125551945347,1491.5666666666666,55.5,-106.49916358333333,-96.01883358333335,0.015879841201587985,0.984130158698413,-106.29737391666667,-96.49932666666663,0.12411875881241187,0.8758912410875891,5.999940000599994e-05,1.0
p2_threshold,1.1,241.92894666666672,121.28250000000001,-120.64644666666666,-126.23361250000002,-114.88151433333333,9.99990000099999e-06,1.0,0.03494126468382905,0.0012246938265433641,1702.0,55.5,-127.44843283333333,-116.9644153333333,0.015239847601523984,1.0,-127.58728758333335,-117.40647999999997,0.12454875451245488,1.0,5.999940000599994e-05,1.0
