M,seed_index,clean_deep_rm_slowdown,clean_source_tetris_slowdown,p3_deep_rm_slowdown,p3_source_tetris_slowdown,deg_M,delta_clean_source_minus_deeprm,delta_p3_source_minus_deeprm
3,7,86.1836018981019,93.65202963702963,90.69845504495504,93.65202963702963,4.514853146853142,7.46842773892773,2.953574592074588
3,8,53.99253704628704,72.6991108891109,52.352495004995,72.6991108891109,-1.6400420412920411,18.706573842823857,20.3466158841159
3,9,75.84373576423576,91.99459224109225,77.85813802863804,91.99459224109225,2.0144022644022783,16.15085647685649,14.136454212454211
3,10,67.3972072927073,71.56565101565101,68.08144780219781,71.56565101565101,0.6842405094905217,4.168443722943721,3.484203213453199
3,11,38.12538186813187,46.75773817848818,35.32683050283051,46.75773817848818,-2.798551365301357,8.632356310356315,11.430907675657672
3,12,69.03006077256079,82.46692957042957,69.21480178155178,82.46692957042957,0.1847410089909971,13.436868797868783,13.252127788877786
3,13,94.58299675324675,100.77448326673326,93.98219721944723,100.77448326673326,-0.6007995337995169,6.19148651348651,6.7922860472860265
3,14,60.028984099234094,72.19464593739593,60.54910631035631,72.19464593739593,0.5201222111222137,12.165661838161839,11.645539627039625
3,15,66.98175499500499,77.71785722610723,69.71760656010656,77.71785722610723,2.7358515651015693,10.736102231102237,8.000250666000667
3,16,74.6459080919081,90.48137853812854,79.03443115218116,90.48137853812854,4.388523060273059,15.835470446220441,11.446947385947382
3,17,45.43552672327672,55.38936896436895,45.75489119214119,55.38936896436895,0.3193644688644639,9.953842241092225,9.634477772227761
3,18,93.04986896436898,112.1897937895438,97.91323984348985,112.1897937895438,4.863370879120865,19.139924825174816,14.276553946053951
3,19,71.01128546453546,74.61039027639028,68.91376806526807,74.61039027639028,-2.097517399267389,3.599104811854815,5.696622211122204
3,20,87.68983932733933,100.78065667665669,89.19720945720947,100.78065667665669,1.5073701298701394,13.090817349317362,11.583447219447223
3,21,54.5033643023643,60.95371478521478,54.77945171495172,60.95371478521478,0.2760874125874224,6.450350482850482,6.174263070263059
3,22,102.7932211122211,104.22971536796537,97.39752622377623,104.22971536796537,-5.395694888444879,1.4364942557442646,6.832189144189144
3,23,67.5402977022977,86.04263727938729,70.09781052281052,86.04263727938729,2.5575128205128124,18.502339577089586,15.944826756576774
3,24,78.536576007326,85.19418414918415,77.43767915417915,85.19418414918415,-1.0988968531468544,6.657608141858148,7.7565049950050025
3,25,56.782318181818184,66.40382775557775,53.565324758574754,66.40382775557775,-3.21699342324343,9.621509573759568,12.838502997002998
3,26,33.09056684981685,43.11533508158508,31.616684981684983,43.11533508158508,-1.473881868131869,10.024768231768228,11.498650099900097
3,27,74.28878679653678,84.16016674991675,76.76223534798535,84.16016674991675,2.47344855144857,9.871379953379972,7.397931401931402
3,28,79.47221586746586,99.525086996337,82.7245089077589,99.525086996337,3.25229304029304,20.052871128871132,16.800578088578092
3,29,74.03975324675325,82.00493689643689,66.68290934065934,82.00493689643689,-7.356843906093914,7.965183649683638,15.322027555777552
1,0,134.8954050949051,122.77615742590743,107.74227955377955,122.77615742590743,-27.153125541125547,-12.119247668997673,15.033877872127874
1,1,112.05794264069266,122.57061904761906,96.69213203463204,122.57061904761906,-15.36581060606062,10.512676406926403,25.878487012987023
1,2,117.78836896436897,118.2063727106227,98.30414643689645,118.2063727106227,-19.484222527472525,0.4180037462537314,19.902226273726257
1,3,105.00386846486846,101.72209831834833,93.85593248418249,101.72209831834833,-11.147935980685972,-3.281770146520131,7.866165834165841
1,4,102.7735755910756,104.66135114885114,77.26063411588412,104.66135114885114,-25.512941475191482,1.8877755577755408,27.400717032967023
1,5,144.39717324342325,125.15164552114553,107.95966733266734,125.15164552114553,-36.43750591075592,-19.24552772227773,17.19197818847819
1,6,97.55556501831502,88.43299775224776,74.18110755910756,88.43299775224776,-23.374457459207463,-9.122567266067264,14.251890193140198
1,7,115.79641275391276,131.96611563436562,104.22417673992675,131.96611563436562,-11.572236013986014,16.16970288045286,27.741938894438874
1,8,109.10708749583749,90.93394147519146,71.88841575091574,90.93394147519146,-37.21867174492175,-18.17314602064603,19.04552572427572
1,9,153.16644713619715,125.61926157176158,102.5740785048285,125.61926157176158,-50.59236863136864,-27.547185564435566,23.045183066933077
1,10,103.08621420246422,101.14638827838826,83.4959512154512,101.14638827838826,-19.59026298701302,-1.9398259240759614,17.65043706293706
1,11,53.1437216949717,73.96600058275058,58.16938245088246,73.96600058275058,5.0256607559107564,20.82227888777888,15.796618131868122
1,12,102.99445221445221,99.87618065268065,86.50381976356975,99.87618065268065,-16.490632450882458,-3.1182715617715644,13.372360889110894
1,13,134.69876356976357,126.52242607392607,116.90101040626041,126.52242607392607,-17.79775316350316,-8.176337495837501,9.621415667665659
1,14,92.99988628038628,93.53779728604728,80.44393731268732,93.53779728604728,-12.555948967698953,0.5379110056610017,13.093859973359955
1,15,111.53949125874125,114.36206560106558,84.95825999000999,114.36206560106558,-26.58123126873126,2.82257434232433,29.40380561105559
1,16,136.06653246753248,116.89687246087246,104.72795895770895,116.89687246087246,-31.338573509823533,-19.169660006660024,12.168913503163509
1,17,77.24249134199134,80.76336122211121,64.29169996669997,80.76336122211121,-12.950791375291374,3.520869880119875,16.47166125541125
