cell,window_index,offset,method,n_steps,sla_sum,resource_sum,adaptation_nonnoop_sum,source_vertical_sum,action_change_sum,sla_rate,resource_mean,adaptation_nonnoop_rate,source_vertical_rate,action_change_rate
clean,16,240060,threshold,4001.0,2.0,1211.6000000000001,29.0,0.0,55.0,0.0004998750312421895,0.3028242939265184,0.007248187953011747,0.0,0.01375
clean,17,248062,rossi,4001.0,107.0,942.3299999999999,1270.0,102.0,1357.0,0.026743314171457137,0.23552361909522618,0.3174206448387903,0.02549362659335166,0.33925
clean,17,248062,threshold,4001.0,0.0,1219.3000000000002,28.0,0.0,55.0,0.0,0.3047488127968008,0.0069982504373906525,0.0,0.01375
clean,18,256064,rossi,4001.0,117.0,992.88,2036.0,89.0,2151.0,0.029242689327668082,0.24815796050987254,0.5088727818045489,0.02224443889027743,0.53775
clean,18,256064,threshold,4001.0,2.0,1305.2,32.0,0.0,59.0,0.0004998750312421895,0.32621844538865286,0.007998000499875032,0.0,0.01475
clean,19,260065,rossi,4001.0,138.0,874.73,1203.0,110.0,1235.0,0.03449137715571107,0.21862784303924018,0.300674831292177,0.02749312671832042,0.30875
clean,19,260065,threshold,4001.0,1.0,1131.9,29.0,0.0,57.0,0.00024993751562109475,0.2829042739315171,0.007248187953011747,0.0,0.01425
clean,20,276069,rossi,4001.0,131.0,1011.25,2116.0,97.0,2122.0,0.03274181454636341,0.25274931267183204,0.5288677830542364,0.02424393901524619,0.5305
clean,20,276069,threshold,4001.0,2.0,1292.8000000000002,35.0,0.0,65.0,0.0004998750312421895,0.3231192201949513,0.008747813046738315,0.0,0.01625
clean,21,348087,rossi,4001.0,101.0,865.37,1738.0,89.0,1811.0,0.025243689077730568,0.21628842789302674,0.43439140214946265,0.02224443889027743,0.45275
clean,21,348087,threshold,4001.0,2.0,1074.3,20.0,0.0,35.0,0.0004998750312421895,0.26850787303174206,0.0049987503124218945,0.0,0.00875
clean,22,380095,rossi,4001.0,122.0,859.1299999999999,1250.0,105.0,1318.0,0.030492376905773555,0.21472881779555109,0.3124218945263684,0.026243439140214948,0.3295
clean,22,380095,threshold,4001.0,2.0,1145.8,27.0,0.0,49.0,0.0004998750312421895,0.28637840539865034,0.006748312921769558,0.0,0.01225
