curve,magnitude,window_index,offset,rossi_total_cost,comparator_total_cost,delta_comparator_minus_rossi
p1_hpa_v2,1,21,348087,104.0506,145.494,41.4434
p1_hpa_v2,1,22,380095,114.25130000000001,156.744,42.492699999999985
p1_hpa_v2,1,23,392098,140.6174,175.86900000000003,35.251600000000025
p1_hpa_v2,1,24,396099,165.6663,179.28900000000004,13.622700000000037
p1_hpa_v2,1,25,432108,162.84810000000002,159.714,-3.134100000000018
p1_hpa_v2,1,26,436109,145.8714,178.74900000000002,32.87760000000003
p1_hpa_v2,1,27,456114,131.28609999999998,187.11900000000003,55.83290000000005
p1_hpa_v2,1,28,492123,131.66549999999998,174.15900000000005,42.49350000000007
p1_hpa_v2,1,29,512128,113.1132,130.239,17.125799999999998
p1_hpa_v2,2,0,12003,144.8161,186.12900000000002,41.31290000000001
p1_hpa_v2,2,1,28007,140.36769999999999,161.424,21.05630000000002
p1_hpa_v2,2,2,36009,143.63760000000002,173.889,30.25139999999999
p1_hpa_v2,2,3,56014,134.9298,152.15400000000002,17.224200000000025
p1_hpa_v2,2,4,60015,158.9488,187.389,28.440200000000004
p1_hpa_v2,2,5,76019,134.2339,188.064,53.83009999999999
p1_hpa_v2,2,6,84021,151.96179999999998,192.204,40.242200000000025
p1_hpa_v2,2,7,96024,145.26579999999998,180.77400000000003,35.508200000000045
p1_hpa_v2,2,8,116029,141.87339999999998,172.80900000000003,30.93560000000005
p1_hpa_v2,2,9,120030,141.5045,183.20400000000004,41.69950000000003
p1_hpa_v2,2,10,148037,132.8416,175.23900000000003,42.39740000000003
p1_hpa_v2,2,11,152038,159.4724,186.44400000000002,26.971600000000024
p1_hpa_v2,2,12,180045,173.0938,171.459,-1.6347999999999843
p1_hpa_v2,2,13,184046,136.9576,194.00400000000002,57.046400000000006
p1_hpa_v2,2,14,192048,150.5362,192.114,41.577799999999996
p1_hpa_v2,2,15,224056,148.23409999999998,187.61400000000003,39.37990000000005
p1_hpa_v2,2,16,240060,130.47279999999998,163.62900000000002,33.15620000000004
p1_hpa_v2,2,17,248062,139.0619,154.494,15.432099999999991
p1_hpa_v2,2,18,256064,146.2625,172.584,26.321500000000015
p1_hpa_v2,2,19,260065,144.3621,159.62400000000002,15.261900000000026
p1_hpa_v2,2,20,276069,130.7804,178.389,47.608600000000024
p1_hpa_v2,2,21,348087,106.52059999999999,145.719,39.19840000000001
p1_hpa_v2,2,22,380095,118.01409999999998,152.964,34.949900000000014
p1_hpa_v2,2,23,392098,147.4042,175.779,28.374799999999993
p1_hpa_v2,2,24,396099,175.03339999999997,179.01900000000003,3.985600000000062
p1_hpa_v2,2,25,432108,162.20440000000002,168.62400000000002,6.419600000000003
p1_hpa_v2,2,26,436109,135.7148,178.479,42.76420000000002
p1_hpa_v2,2,27,456114,138.3277,187.52400000000006,49.196300000000065
p1_hpa_v2,2,28,492123,133.6526,169.839,36.18639999999999
p1_hpa_v2,2,29,512128,121.073,126.729,5.656000000000006
p1_hpa_v2,5,0,12003,145.7387,186.264,40.525300000000016
p1_hpa_v2,5,1,28007,149.1845,161.829,12.644499999999994
p1_hpa_v2,5,2,36009,144.91989999999998,173.214,28.294100000000014
p1_hpa_v2,5,3,56014,147.02640000000002,153.09900000000002,6.072599999999994
p1_hpa_v2,5,4,60015,160.96729999999997,186.714,25.746700000000033
p1_hpa_v2,5,5,76019,138.9578,191.43900000000002,52.48120000000003
p1_hpa_v2,5,6,84021,160.90009999999995,196.389,35.48890000000006
p1_hpa_v2,5,7,96024,152.70239999999998,186.174,33.471600000000024
p1_hpa_v2,5,8,116029,154.90089999999998,173.394,18.493100000000027
p1_hpa_v2,5,9,120030,141.2495,182.34900000000002,41.099500000000006
p1_hpa_v2,5,10,148037,147.5295,178.479,30.9495
p1_hpa_v2,5,11,152038,155.8427,188.87400000000002,33.031300000000016
p1_hpa_v2,5,12,180045,169.5322,171.459,1.9268000000000143
p1_hpa_v2,5,13,184046,161.83350000000002,185.90400000000002,24.07050000000001
p1_hpa_v2,5,14,192048,162.6674,188.46900000000002,25.801600000000036
p1_hpa_v2,5,15,224056,160.3029,187.70400000000004,27.401100000000042
p1_hpa_v2,5,16,240060,138.6522,168.624,29.9718
p1_hpa_v2,5,17,248062,140.1091,154.899,14.789899999999989
p1_hpa_v2,5,18,256064,143.8467,176.094,32.247299999999996
p1_hpa_v2,5,19,260065,150.5024,153.00900000000001,2.50660000000002
p1_hpa_v2,5,20,276069,139.923,173.93400000000003,34.011000000000024
p1_hpa_v2,5,21,348087,119.9916,144.774,24.782399999999996
p1_hpa_v2,5,22,380095,123.1055,157.41899999999998,34.313499999999976
p1_hpa_v2,5,23,392098,138.84629999999999,173.16900000000004,34.322700000000054
p1_hpa_v2,5,24,396099,179.3493,177.66900000000004,-1.68029999999996
p1_hpa_v2,5,25,432108,158.36870000000002,164.30400000000003,5.935300000000012
p1_hpa_v2,5,26,436109,138.38,179.964,41.584
p1_hpa_v2,5,27,456114,148.37269999999998,189.41400000000002,41.041300000000035
p1_hpa_v2,5,28,492123,150.18599999999998,164.574,14.388000000000034
p1_hpa_v2,5,29,512128,114.71609999999998,126.909,12.192900000000023
p1_hpa_v2,10,0,12003,150.3218,188.829,38.50720000000001
p1_hpa_v2,10,1,28007,147.01839999999999,164.394,17.37560000000002
p1_hpa_v2,10,2,36009,139.5478,173.709,34.16120000000001
p1_hpa_v2,10,3,56014,140.99259999999998,151.88400000000001,10.891400000000033
p1_hpa_v2,10,4,60015,154.8906,187.11900000000003,32.22840000000002
p1_hpa_v2,10,5,76019,150.1882,183.87900000000002,33.690800000000024
p1_hpa_v2,10,6,84021,165.3539,193.68900000000002,28.33510000000001
p1_hpa_v2,10,7,96024,158.91369999999998,180.63900000000004,21.72530000000006
p1_hpa_v2,10,8,116029,159.9548,178.47900000000004,18.524200000000036
p1_hpa_v2,10,9,120030,150.09120000000001,183.56400000000002,33.47280000000001
p1_hpa_v2,10,10,148037,144.62689999999998,176.454,31.82710000000003
p1_hpa_v2,10,11,152038,168.8005,187.11900000000003,18.31850000000003
p1_hpa_v2,10,12,180045,172.0389,174.42900000000003,2.390100000000018
p1_hpa_v2,10,13,184046,160.5702,188.87400000000002,28.303800000000024
p1_hpa_v2,10,14,192048,172.60879999999997,188.06400000000002,15.455200000000048
p1_hpa_v2,10,15,224056,162.52759999999998,189.639,27.11140000000003
p1_hpa_v2,10,16,240060,147.40159999999997,163.62900000000002,16.227400000000046
p1_hpa_v2,10,17,248062,141.0806,155.169,14.088400000000007
p1_hpa_v2,10,18,256064,140.1241,176.90400000000005,36.779900000000055
p1_hpa_v2,10,19,260065,151.7956,159.309,7.51339999999999
p1_hpa_v2,10,20,276069,142.89600000000002,179.199,36.303
p1_hpa_v2,10,21,348087,113.0954,144.00900000000001,30.913600000000017
p1_hpa_v2,10,22,380095,131.6652,152.829,21.16380000000001
p1_hpa_v2,10,23,392098,162.4286,176.949,14.520400000000024
p1_hpa_v2,10,24,396099,177.0731,179.42400000000004,2.350900000000024
p1_hpa_v2,10,25,432108,160.6234,167.67900000000003,7.055600000000027
p1_hpa_v2,10,26,436109,137.53480000000002,179.154,41.61919999999998
p1_hpa_v2,10,27,456114,144.30899999999997,187.65900000000005,43.35000000000008
p1_hpa_v2,10,28,492123,144.2144,166.734,22.519599999999997
p1_hpa_v2,10,29,512128,125.5334,129.60899999999998,4.07559999999998
p1_hpa_v2,20,0,12003,164.78699999999998,217.449,52.662000000000035
p1_hpa_v2,20,1,28007,154.6114,193.284,38.67259999999999
p1_hpa_v2,20,2,36009,147.8662,194.139,46.27280000000002
p1_hpa_v2,20,3,56014,155.5651,175.23900000000003,19.67390000000003
p1_hpa_v2,20,4,60015,173.04199999999997,222.399,49.35700000000003
p1_hpa_v2,20,5,76019,165.0263,208.04400000000004,43.01770000000005
p1_hpa_v2,20,6,84021,170.35679999999996,228.924,58.56720000000004
p1_hpa_v2,20,7,96024,187.18589999999998,205.07399999999996,17.88809999999998
p1_hpa_v2,20,8,116029,163.25269999999998,213.084,49.83130000000003
p1_hpa_v2,20,9,120030,158.9135,200.709,41.795500000000004
p1_hpa_v2,20,10,148037,154.7161,197.649,42.93289999999999
p1_hpa_v2,20,11,152038,177.47709999999998,211.50900000000001,34.031900000000036
p1_hpa_v2,20,12,180045,167.8958,187.389,19.4932
p1_hpa_v2,20,13,184046,159.4373,225.86400000000003,66.42670000000004
p1_hpa_v2,20,14,192048,167.33489999999998,222.309,54.97410000000002
p1_hpa_v2,20,15,224056,173.01229999999998,208.764,35.75170000000003
p1_hpa_v2,20,16,240060,147.352,194.00400000000002,46.652000000000015
p1_hpa_v2,20,17,248062,154.87630000000001,159.62400000000002,4.747700000000009
p1_hpa_v2,20,18,256064,145.1475,195.894,50.7465
p1_hpa_v2,20,19,260065,146.27149999999997,177.534,31.262500000000017
p1_hpa_v2,20,20,276069,153.3817,200.079,46.69730000000001
p1_hpa_v2,20,21,348087,130.2808,167.31900000000002,37.03820000000002
p1_hpa_v2,20,22,380095,125.7347,182.349,56.614299999999986
p1_hpa_v2,20,23,392098,151.6565,196.524,44.86750000000001
p1_hpa_v2,20,24,396099,193.3365,188.829,-4.507499999999993
p1_hpa_v2,20,25,432108,166.35229999999999,178.344,11.991700000000009
